brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
MIZUNO,Tênis Mizuno Wave Prophecy Ls Shinzo Lançamento Olimpiadas,2.499,92,2.099,,,
ASICS,Tênis Masculino Asics Gel Sendai Original Academia Corrida,330,62,99,,,
MIZUNO,Tênis Mizuno Wave Prophecy Ls Shinzo Lançamento Olimpiadas,2.499,92,2.099,,,
ON RUNNING,Tênis De Corrida On Running Cloudspark Ice/grove Masculino,1.049,90,104,,,
ASICS,Tênis Masculino Asics Gel Sendai Original Academia Corrida,330,62,99,,,
SKECHERS,Tênis Skechers Go Run 7.0 - Cinza,649,99,65,,,
NEW BALANCE,Tenis New Balance 520v8 Masculino-azul/preto-m520zf8,369,99,295,99,,
OLYMPIKUS,Tênis Olympikus Zex 168 Masculino - Preto+chumbo,229,89,32,84,,
,Tênis Ecotênis Masculino Conforto Extra Leve Aniderrapante,59,90,5,82,,
MIZUNO,Tênis Mizuno Hawk 5 Masculino Marinho E Dourado Original,384,98,37,32,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Wave Legend3 101079079,739,99,74,,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,38,78,4.7,(1324)
MIZUNO,Tênis Masculino Corrida Treino Mizuno Wave Legend3 101079079,739,99,74,,,
,Tênis Masculino Confort Extra Leve Ecotênis Treino Esportivo,64,90,21,63,,
ASICS,Tênis Asics Gel-hypersonic 5 Masculino,599,90,59,99,,
,Tênis Masculino Ecotênis Corrida Treino Academia Caminhada,64,90,21,63,,
,Tênis Ecotênis Corrida Trabalho Conforto Caminhada Treino,62,90,6,11,,
,Tênis Ecotênis Conforto Caminhada Treino Corrida Conforto,59,90,5,82,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Space 4 101088088,449,99,45,,,
,Tênis Masculino Ecotênis Para Corrida Antiderrapante Confort,60,90,5,92,,
NIKE,Tênis Nike Flex Experience 12 Masculino,349,99,33,93,4.6,(176)
MIZUNO,Tênis Masculino Corrida Treino Mizuno Space 4 101088088,449,99,45,,,
MIZUNO,Kit Tênis Mizuno Enigma Masculino + Pochete De Corrida,459,90,45,99,,
MIZUNO,Tênis Mizuno Arrow Masculino Preto,399,90,39,,,
ASICS,Tenis Asics  Masculino Corrida Azul E Cinza,728,90,70,67,,
,Tênis Ecotênis Treino Academia Caminhada Corrida Esporte,64,90,21,63,,
,Tênis Masculino Ecotênis Extra Leve Sola Antiderrapante,61,90,6,02,,
FILA,Tenis Fila Racer Comet,349,90,34,99,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Wave Legend3 101079079,664,99,64,47,,
,Tênis Masculino Esportivo Extra Leve Conforto Ecotênis,63,90,6,21,,
,Tênis Ecotênis Extra Leve Trabalho Corrida Conforto Treino,59,90,5,82,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Space 4 101088088,399,99,38,78,,
FILA,Tênis Fila Acd Classic Masculino Preto Promoção Pix Adulto,419,62,40,,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Space 4 101088088,399,99,38,78,,
ON RUNNING,Tênis De Corrida On Running Cloudswift 3 Masculino,1.049,90,104,,,
ON RUNNING,Tênis De Corrida On Running Cloudrunner 2 Masculino,999,90,99,,,
OLYMPIKUS,Tênis Olympikus Masculino Casual Color Adulto Original,699,99,70,,,
OLYMPIKUS,Tenis Masculino Olympikus Bloco Corrida Treino Original Leve,259,95,32,49,,
ASICS,Tenis Asics Gel  Masculino Corrida Azul E Laranja,872,90,84,63,,
,Tênis Masculino Ecotênis Sola Antiderrapante Corrida Confort,67,90,22,63,,
ABUZZE,Tênis Masculino Abuzze Run Original,150,,30,,,
UNDER ARMOUR,Under Armour Charged Wing SE Masculino Adultos,299,90,33,32,4.8,(8)
,Tênis Masculino Esportivo Corrida Bm Cat Automobilismo,159,90,68,75,,
ASICS,Tênis Gel Sparta Asics Unissex - Conforto E Performance,575,02,57,50,,
FILA,Tênis Fila Efecto Masculino Corrida Treino Academia Original,349,99,237,99,,
OLYMPIKUS,Tenis Esportivo Olympikus Bloco Academia Corrida Lançamento,259,79,32,47,,
FILA,Tênis Fila Improve Masculino,449,90,44,,,
ABUZZE,Tênis Masculino Abuzze Run Original,169,99,34,,,
NEW BALANCE,Tênis Masculino Evoz V3 New Balance Corrida Treino Academia,499,75,48,45,,
ABUZZE,Tênis Masculino Abuzze Run Original,79,90,7,77,,
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,172,42,4.5,(8941)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(2354)
OLYMPIKUS,Tênis Olympikus Estilo 2 Masculino Corrida,259,99,207,99,4.6,(88)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,71,99,4.5,(11320)
FILA,Tênis Fila Improve Masculino,449,90,44,,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(5872)
ABUZZE,Tênis Masculino Abuzze Run Original,169,99,34,,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,69,90,66,40,4.7,(3121)
NEW BALANCE,Tênis Masculino Evoz V3 New Balance Corrida Treino Academia,499,75,48,45,,
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,131,42,12,77,4.4,(4333)
OLYMPIKUS,Tênis Olympikus Original Corrida Promoção Lançamento Novo,333,33,99,99,,
ASICS,Tênis Asics Academia Corrida Treino Macio Barato 34 Ao 43,333,33,99,99,4.0,(167)
,Tênis Ecotênis Para Treino Academia Esportes Corrida Confort,59,90,5,82,,
ABUZZE,Tênis Masculino Abuzze Run Original,79,90,7,77,,
,Tênis Masculino Feminino Old Skool Space Caminhada Casual,95,67,31,,,
OLYMPIKUS,Tênis Running Masculino Delta Olympikus Marinho,234,59,187,67,,
OLYMPIKUS,Tênis Running Masculino Delta Olympikus Marinho,234,59,187,67,,
MIZUNO,Tênis Masculino Corrida Treino Mizuno Wave Legend3 101079079,664,99,64,47,,
MIZUNO,Tênis Masculino Mizuno Wave Creation 20 Academia Treino,309,96,139,48,,
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,93,02,9,04,4.4,(352)
PROSPECT,Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,69,90,44,73,4.3,(109)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,57,90,55,35,4.6,(515)
UNDER ARMOUR,Tênis Corrida Academia Treino Under Armour Charged Wing Se,349,89,34,99,,
ABUZZE,Tênis Masculino Airboost Eva,144,90,36,22,,
OLYMPIKUS,Tênis Olympikus Masculino Chroma Atividades Esportivas,199,99,179,99,4.6,(14)
OLYMPIKUS,Tenis Masculino Olympikus Bloco Corrida Confortável Original,259,89,32,49,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,64,90,6,31,4.1,(8799)
,Tênis Ecotênis Extra Leve Para Trabalho Caminhada Esportes,65,90,21,97,,
,Tênis Ecotênis Masculino Para Treino Academia Corrida Leve,64,90,21,63,,
MIZUNO,Mizuno Cool Ride Masculino Adultos,349,90,244,93,4.8,(960)
